ID,condition,sentence
1,HIGHent,We used to live near a beast.
2,HIGHent,Most teachers have an elephant.
3,HIGHent,Several different people were holding a trombone.
4,HIGHent,I know someone who worked as an astronomer.
5,HIGHent,We should make a rainforest.
6,HIGHent,You should think about an oblong.
7,HIGHent,He forgot he had a mermaid.
8,HIGHent,They've just seen an elevator.
9,HIGHent,Tomorrow I'll make a galaxy.
10,HIGHent,On Friday he will visit a wizard.
11,HIGHent,Mum would like an encasement.
12,HIGHent,They were given a machine.
13,HIGHent,She's going to be a zoologist.
14,HIGHent,The correct answer is an impeachment.
15,HIGHent,I used to be a prophet.
16,LOWentLOWsup,An ant is an insect.
17,LOWentLOWsup,Amanda used the spade to dig a hole.
18,LOWentLOWsup,I called the dentist to make an appointment.
19,LOWentLOWsup,A child with no parents is an orphan.
20,LOWentLOWsup,The highest card in poker is an Ace.
21,LOWentLOWsup,For love he would swim across an ocean.
22,LOWentLOWsup,Sandcstles were built on a beach.
23,LOWentLOWsup,The language can't be written because it doesn't have an alphabet.
24,LOWentLOWsup,To lock the door she used a key.
25,LOWentLOWsup,No man is an island.
26,LOWentLOWsup,The monkey is eating a banana.
27,LOWentLOWsup,Sally exercises by riding a bike.
28,LOWentLOWsup,He went to the bank to ask for a loan.
29,LOWentLOWsup,I have an uncle and an aunt.
30,LOWentLOWsup,It was windy enough to fly a kite.
31,LOWentHIGHsupIN,He cleaned the carpet with an item.
32,LOWentHIGHsupIN,He hit the nail with an octopus.
33,LOWentHIGHsupIN,The criminal was sentenced by an accountant.
34,LOWentHIGHsupIN,Berlin was separated by an illusion.
35,LOWentHIGHsupIN,To remove the tumor he needed a trampoline.
36,LOWentHIGHsupIN,Crops are grown by an assistant.
37,LOWentHIGHsupIN,I needed money so I got an emerald.
38,LOWentHIGHsupIN,She collected the photos in a toolbox.
39,LOWentHIGHsupIN,Failure is not a bonus.
40,LOWentHIGHsupIN,Her name rings an orangutan.
41,LOWentHIGHsupIN,He looks as cool as an eagle.
42,LOWentHIGHsupIN,We're up the creek without an ostrich.
43,LOWentHIGHsupIN,Gladiators fight in a windmill.
44,LOWentHIGHsupIN,The baby played with an accordion.
45,LOWentHIGHsupIN,The caterpillar turned into an acorn.
46,LOWentHIGHsupCON,The postman was bitten by a mosquito.
47,LOWentHIGHsupCON,Newton was hit by an idea.
48,LOWentHIGHsupCON,He painted the wall with a feather.
49,LOWentHIGHsupCON,He locked the door with a stick.
50,LOWentHIGHsupCON,The chef boiled the eggs in a minute.
51,LOWentHIGHsupCON,The student studied the material for an eternity.
52,LOWentHIGHsupCON,The gardener watered the plants with a pump.
53,LOWentHIGHsupCON,The carpenter cut the wood with a blade.
54,LOWentHIGHsupCON,He lit the candle with a flamethrower.
55,LOWentHIGHsupCON,He arranged the flowers in a shoe.
56,LOWentHIGHsupCON,Every rose has a pot.
57,LOWentHIGHsupCON,At the bank she opened an umbrella.
58,LOWentHIGHsupCON,Muslims pray in a building.
59,LOWentHIGHsupCON,Sally went into the water for a laugh.
60,LOWentHIGHsupCON,He was half-blind after losing an argument.
61,regression,We want to see a horror movie.
62,regression,Angela drove down the street.
63,regression,Roger looked for a job.
64,regression,She was holding a garden party.
65,regression,At the supermarket she bought some apples.
66,regression,He reached into his pocket for his wallet.
67,regression,He turned on the light.
68,regression,She turned the stereo repeatedly.
69,regression,He can ride a goat.
70,regression,Her hair color was changing.
71,regression,Jim walked along the roof.
72,regression,He was sitting on a pancake.
73,regression,I like living in my large balloon.
74,regression,On the floor there was a beautiful moose.
75,regression,We got there by taking a chance.
76,regression,They encountered a species with extraordinary intelligence.
77,regression,Bobby got everyone together to discuss the project.
78,regression,Later we are going to visit a museum.
79,regression,Her favorite food is pizza.
80,regression,Daniel saw a very old man.
81,regression,Brad will drive to the store.
82,regression,He refused to shut up.
